[0]タイプ	[1]インスタンス名（ドメイン）	[2]ドメイン	[3]独自文字色	[4]独自背景色	[5]独自画像	[6]独自画像横幅	[7]画像情報	[8] Wiki 記事URL等	[9] 認定証	[10] 著作権URL		
												
0	senooken.jp	social.senooken.jp										
0		js4.in/alttw										
0	💩 Shitposter.Club	shitposter.club										
												
												
												
												
												
												
												
												
												
	↓　墓場											
												
												
												
												
												
												
												
	↑　墓場											
												
												
												
												
												
1	juggler.jp	mastodon.juggler.jp			mastodon_juggler_jp.png	30	サイト favicon を基に作成＋管理者開発アプリ Subway Tooter のロゴを基に作成	https://ja.mstdn.wiki/Mastodon.juggler.jp				
1	mstdn.beer	mstdn.beer			mstdn_beer.png	92	ビール乾杯の絵文字から					
1	海鮮丼	kaisendon.asmodeus.red		#f33								
1	asmodeus.tokyo	ding-dong.asmodeus.tokyo		#f33								
1	Train Info	mastodon-train.info										
1	tacostea.net	don.tacostea.net										
1	v6＠js4.in	mastodon.home.js4.in						https://ja.mstdn.wiki/IPv6%E3%83%89%E3%83%B3				
1	komittee.net	mstdn.komittee.net										
1	mimikun.jp	mstdn.mimikun.jp										
1	f72u.net	mstdn.f72u.net										
1	ビクセン(雌狐)	v1x3n.net		#ff8eab				https://ja.mstdn.wiki/V1x3n.net				
1	全角鯖	social.arnip.org										
1	九州自宅ITインフラ系	social.bluecore.net		#33f								
1	asterism.xyz	mstdn.asterism.xyz										
1	幻想街	gensokyo.town						https://ja.mstdn.wiki/Gensokyo.town				
1	mikutter	social.mikutter.hachune.net	#efefef	#ff009a				https://ja.mstdn.wiki/Social.mikutter.hachune.net				
1	PCGamer.social	pcgamer.social										
1		dtp-mstdn.jp						https://ja.mstdn.wiki/DTP-Mstdn.jp				
1	中二病.jp	m.xn--fiqwix98h.jp						https://ja.mstdn.wiki/H3zjp				
1	0ko.me	social.0ko.me										
1	ごま丼	don.gomasy.jp										
1	ミニ四駆DON	mstdn.mini4wd-engineer.com			mstdn_mini4wd-engineer_com.png	36	※Mastodonロゴの赤と青と並べただけ	https://ja.mstdn.wiki/%E3%83%9F%E3%83%8B%E5%9B%9B%E9%A7%86DON	https://mstdn.mini4wd-engineer.com/@kumanotetu/101067852009767326			
1	くらりすとどん	claristdon.net										
1		claris.cf	#003	#ffc7c8	claris_cf.png	36	管理者本人からの提出。	https://ja.mstdn.wiki/Claris.cf				
1	playground.ws	toot.playground.ws										
1		m.auri.ga										
1	避暑地鯖	mastodon.motcha.tech						https://ja.mstdn.wiki/Mastodon.motcha.tech				
1	crazynewworld.net	mastodon.crazynewworld.net										
1		yakumo.foundation										
1		mstdn.love		#ff8eab	mstdn_love.png	72	weep	https://ja.mstdn.wiki/Mstdn.love				
1		tsuki.network										
1	azurlane	azurlane.mastportal.info		#1594fc	mastportal_info.png	33	Mastodonの旧ロゴ	https://ja.mstdn.wiki/%E3%83%9E%E3%82%B9%E3%83%88%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%AB				
1	animal-crossing	animal-crossing.mastportal.info		#1594fc	mastportal_info.png	33	Mastodonの旧ロゴ	https://ja.mstdn.wiki/%E3%83%9E%E3%82%B9%E3%83%88%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%AB				
1	Pokémon (ポケマス)	pokemon.mastportal.info		#1594fc	mastportal_info.png	33	Mastodonの旧ロゴ	https://ja.mstdn.wiki/%E3%83%9D%E3%82%B1%E3%83%9E%E3%82%B9				
1	osomatsu	osomatsu.mastportal.info		#1594fc	mastportal_info.png	33	Mastodonの旧ロゴ	https://ja.mstdn.wiki/%E3%83%9E%E3%82%B9%E3%83%88%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%AB				
1	慶應義塾	mstdn.awa.sfc.keio.ac.jp	#000	#bbb, #bbb	mstdn0.png			https://ja.mstdn.wiki/Mstdn.awa.sfc.keio.ac.jp				
1		utodon.jp	#000	#bbb, #bbb	mstdn0.png			https://ja.mstdn.wiki/UTodon				
1		taruntarun.net										
1	✉️ 私信	si.pmpm.pw	#000	#fff, #fff	mstdn0.png	17						
1		raptol.net										
1		mast.moe		#ff8eab	mast_moe.png	74	weep					
1		momoiro9.ro		#ff8eab								
1	hideo54.com	social.hideo54.com										
1		under-bank.blue		#33f								
1	らずぴどん	raspidon.mamemo.online			raspidon_mamemo_online.png	32	Raspberry Pi のロゴから					
1	すけべネコ丼	sukebeneko.com		#ff8eab								
1	Vocalodon	vocalodon.net		#4bc6b4, #4bc6b4, #4bc6b4				https://ja.mstdn.wiki/Vocalodon				
1	MIKUSPOT	mikuspot.net	#00ccc3	#424245, #424245, #424245				https://ja.mstdn.wiki/MIKUSPOT				
1	39sounds.net	39sounds.net		#4bc6b4, #4bc6b4, #4bc6b4								
1	MMD丼 	mikumikudance.cloud		#e6105f, #e6105f, #e6105f				https://ja.mstdn.wiki/Mikumikudance.cloud				
1	イグアノ丼	iguanodon.net										
1		ertona.net										
1	Alserver.jp	alserver.jp		#ff8eab	alserver_jp.png	32	https://oransns.com/@nacika  氏作の faviconを基に作成			https://oransns.com/@nacika		
1	脱臼しない(AA板)	msdnaart.net						https://ja.mstdn.wiki/Msdnaart.net				
1	まめも	don.mamemo.online										
1	lithium03.info	mastodon.lithium03.info										
1	ぽよ	mstdn.poyo.me						https://ja.mstdn.wiki/Poyo.me				
1	RO丼	ro-mastodon.puyo.jp						https://ja.mstdn.wiki/RO%E4%B8%BC				
1	雪餅	toot.yukimochi.jp						https://ja.mstdn.wiki/%E9%9B%AA%E9%A4%85				
1	Mustardon	mustardon.tokyo										
1		setl.ist										
1	めいめいドン	mst.m544.net		#ff8eab				https://ja.mstdn.wiki/%E3%82%81%E3%81%84%E3%82%81%E3%81%84				
1	Monappy	mstdn.monappy.jp						https://ja.mstdn.wiki/Mstdn.monappy.jp				
1		prinsesse.co										
1	シラハネットワーク	orikilli.yaruki0.net										
1	rinsuki.net	mstdn.rinsuki.net										
1	雨男	rainyman.jp										
1	金具	mstdn.kanagu.info										
1	cardina1.red	mastodon.cardina1.red		#f33								
1	🍡 ずんだもち	mastodon.zunda.ninja		#008060								
1		isidai.com										
1		tebukuro.pw										
1	たいやきん家	mstdn.taiyaki.online		#c8975c, #c8975c								
1		mstdn.tw			mstdn_tw.png	64	weep					
1		cironnup.com										
1	Lucida-Memo	mstdn.lucida-memo.info										
1	まっちゃ丼	mastodon.matcha-soft.com										
1	ggtea.org	md.ggtea.org										
1		altdn.me										
1	まちトドン	matitodon.com						https://ja.mstdn.wiki/%E3%81%BE%E3%81%A1%E3%83%88%E3%83%89%E3%83%B3				
1	はんドンクラブ	handon.club										
1	Creatodon	gamelinks007.net						https://ja.mstdn.wiki/Creatodon				
1	フジイユウジ	mstdn.fujii-yuji.net										
1		tl.telmina.com		#008060								
1	im@stodon.net	imastodon.net		#ff8eab				https://ja.mstdn.wiki/Imastodon.net				
1		gorone.xyz										
1	FF14	ffxiv-mastodon.com						https://ja.mstdn.wiki/Ffxiv-mastodon.com				
1		syasai.club										
1	鴉どん	mstdn.precure.fun										
1	電算丼	mstdn.inct-densan.club										
1	無能丼	muknown.jp										
1	potproject.net	mastodon.potproject.net										
1	LIBERA S2	s2.libera.blue		#33f								
1	tablegame	tablegame.mstdn.cloud			mstdn_cloud.png	54	weep	https://ja.mstdn.wiki/Dasoran				
1	socialgame	socialgame.mstdn.cloud			mstdn_cloud.png	54	weep	https://ja.mstdn.wiki/Dasoran				
1	anime	anime.mstdn.cloud			mstdn_cloud.png	54	weep	https://ja.mstdn.wiki/Dasoran				
1	gamecreate	gamecreate.mstdn.cloud			mstdn_cloud.png	54	weep	https://ja.mstdn.wiki/Dasoran				
1		popon.pptdn.jp										
1		yysk.icu										
1		toot.blue		#33f								
1	Hostdon公式	mstdn.hostdon.jp			hostdon_jp.png	36	hostdon ロゴから作成	https://ja.mstdn.wiki/Hostdon		https://weep.me/@weep/101107688949953005		
1	chaosphere	chaosphere.hostdon.jp			hostdon_jp.png	36	hostdon ロゴから作成			https://weep.me/@weep/101107688949953005		
1	gldon	gldon.hostdon.jp			hostdon_jp.png	36	hostdon ロゴから作成			https://weep.me/@weep/101107688949953005		
1	m o stodon.cloud	mostodon.cloud			hostdon_jp.png	36	hostdon ロゴから作成	https://ja.mstdn.wiki/Mostodon.cloud		https://weep.me/@weep/101107688949953005		
1	gtn-works.com	mstdn.gtn-works.com										
1		angraecumnote.net										
1		real-escape.jp										
1	うかどん	ukadon.shillest.net										
1	neso.tech	don.neso.tech										
1	snowandtweet.jp	mastodon.snowandtweet.jp						https://ja.mstdn.wiki/Mastodon.snowandtweet.jp				
1		mstdn.guru		#468760	mstdn_guru.png	74	weep	https://ja.mstdn.wiki/Mstdn.guru				
1		mstdn.klamath.jp										
1		mathtod.online										
1		seichi.work										
1		steam-don.fun										
1	ねこの箱庭	mstdn.kurosuke.org										
1		felesitas.cloud										
1	res.ac	mstdn.res.ac										
1	ひな丼	mdn.hinaloe.net										
1	dasoran.net	mstdn.dasoran.net										
1		fla.red		#f33								
1		qiitadon.com		#59bb0c								
1	soysoftware.net	mstdn.soysoftware.net										
1	音ゲーマー丼	otogamer.me						https://ja.mstdn.wiki/Otogamer.me				
1	音屋丼	otoya.space						https://ja.mstdn.wiki/%E9%9F%B3%E5%B1%8B%E4%B8%BC				
1		photodn.net										
1		mstdn.cc			mstdn_cc.png	64	weep					
1	ryanak.xyz	mstdn.ryanak.xyz										
1	でじねこ丼	digineko.jp										
1	m2hq.net	don.m2hq.net										
1	unasuke.com	mstdn.unasuke.com										
1	osyakasyama.me	mastodon.osyakasyama.me										
1	abcang.net	testingmstdn.abcang.net										
1	ヒゲメガネ丼	hige.alterna-cloud.com										
1	сумирэ.рф	mstdn.xn--h1ahnbk7d.xn--p1ai										
1	a-tak.com	mstdn.a-tak.com										
1	しろがねドン	shiroganedon.net										
1	銀河丼	gingadon.com						https://ja.mstdn.wiki/%E9%8A%80%E6%B2%B3%E4%B8%BC				
1	haun.jp	mstdn.haun.jp										
1		pao.moe										
1	kuriuzu.tk	mstdn.kuriuzu.tk										
1		amemiya.work										
1	glorificatio.org	mstdn.glorificatio.org										
1	meganekeesu	meganekeesu.tokyo										
1		mastodooooooon.xyz										
1	xps2.net	md.xps2.net										
1		solna.in										
1		gadget.inpocket.net										
1		wug.fun						https://ja.mstdn.wiki/Wugtodon				
1		netstat.app										
1	かくどん (kakudon.com)	kakudon.com										
1	kimamass.com	social.kimamass.com										
1		qnmd.info										
1		kuroringo.com										
1	やきたまどん	mstdn.yakitamago.info										
1		makimaki.jp										
1	ChinoBlog	mstdn.nekonote.cc										
1	クラゲ丼	kurage.cc						https://ja.mstdn.wiki/Kurage.cc				
1	atcurio.com	mstdn.atcurio.com										
1		junkhub.org										
1	C++er丼	cpper.xyz										
1	YAMAKEN	yamaken.jp										
1		gnosia.info										
1		omochi.xyz										
1		mosw.work										
1	ざ Mastodon	mastodon.chotto.moe			chotto_moe.png	32	サイト favicon を基に作成					
1	自宅ラック	jitakurack.chotto.moe			chotto_moe.png	32	サイト favicon を基に作成					
1	tmp1024.com	mastodon.tmp1024.com										
1	オビツドン	obitsudon.midyuki.net										
1	izayoiwind.net	grain.izayoiwind.net										
1	決済オタク丼	mstdn.kessai-otaku.club										
1	よろず屋ドン	md.paoon.social										
1	焼肉ドン	yakiniku.cloud										
1	kirishima(アスタルテ)	kirishima.cloud						https://ja.mstdn.wiki/Kirishima.cloud				
1	skoji.jp	sandbox.skoji.jp										
1	本の虫	bookwor.ms		#c8975c, #c8975c								
1	マストどどんとふドン	www.mstddntfdn.online										
1	imoimo.xyz	mstdn.imoimo.xyz										
1	schoolidol.club	mstdn.schoolidol.club		#ff8eab								
1	┌(┌ ＾o＾)┐Homoo	homoo.social										
1		mstdn-jp.site										
1	あふん鯖	flower.afn.social						https://ja.mstdn.wiki/Flower.afn.social				
1	艦これ 泊地	kancolle.social										
1	八月鯖	august-don.site						https://ja.mstdn.wiki/%E9%9B%AA%E9%A4%85				
1	キュアスタ！	precure.ml	#880000	#ff6600, #ffba00, #fffe00, #00ff74, #00f9ff, #0057ff		17		https://ja.mstdn.wiki/Precure.ml				
1	BlessedGeeks.Org	blessedgeeks.org										
1	CCさくら/CLAMP	kero.ccsakura.jp		#ff8eab				https://ja.mstdn.wiki/Kero.ccsakura.jp				
1	ほたとどん	mstdn.hinabita.com										
1		clonis.xyz										
1	animedon	animedon.chao.tokyo										
1	もちわさ丼	mochiwasadon.com										
1	Hexadon	hexadon.net		#d430c6								
1	おれのMastodon	mastdon.amazedkoumei.com										
1		mastodon.kitchen										
1	Kemonodon.club	kemonodon.club						https://ja.mstdn.wiki/Kemonodon.club				
1		ichiji.social						https://ja.mstdn.wiki/Ichiji.social				
1	ワサラダン	wasaradan.m.to						https://ja.mstdn.wiki/%E3%83%AF%E3%82%B5%E3%83%A9%E3%83%80%E3%83%B3				
1		mstdn.club						https://ja.mstdn.wiki/Mstdn.club				
1	マストドンエフエム	mstdn.fm										
1	マストドンバイク鯖	mstdn-bike.net										
1	東京カメラ部	mstdn.tokyocameraclub.com										
1		mental.social										
1	ニチアサドン	nitiasa.com										
1	NegiToro-don	nt.mstdon.app										
1	ぶいつべどん	mstdn.vtube.media						https://ja.mstdn.wiki/%E3%81%B6%E3%81%84%E3%81%A4%E3%81%B9%E3%81%A9%E3%82%93				
1	モケイドン	plasticmodels.tokyo										
1	♨ onsen.tech	m6n.onsen.tech						https://ja.mstdn.wiki/Mastodon_Onsen				
1	Syamutodon	syamutodon.xyz						https://ja.mstdn.wiki/Syamutodon.xyz				
1	Mastodon淫夢	mstdn.yjsnpi.nu						https://ja.mstdn.wiki/Mastodon%E6%B7%AB%E5%A4%A2				
1	フォレスドン	foresdon.jp						https://ja.mstdn.wiki/Foresdon.jp				
1		mzn-potatochips.me										
1	スチーム丼	steam-don.fun										
1	マストドル	mastodol.jp		#ff8eab								
1	futaba-works.com	mstdn.futaba-works.com										
1	cosplayer.com	mstdn.cosplayer.com										
1	moe-max.jp	mstdn.moe-max.jp										
1	マストドン.jp	xn--zck4ad5f2e.jp						https://ja.mstdn.wiki/%E3%83%9E%E3%82%B9%E3%83%88%E3%83%89%E3%83%B3.jp				
1	EF67	ef67.myhome.cx										
1	binfish.jp	mstdn.binfish.jp										
1	Justodon	justodon.net										
1	noraworld.jp	mastodon.noraworld.jp										
1		catgram.jp										
1	cosnomi.com	mstdn.cosnomi.com										
1	Mimumedon	mimumedon.com										
1	ht164.jp	mstdn.ht164.jp										
1		naokisz.tk										
1		z-flag.work										
1	Catdon.life	catdon.life										
1	Foodon.jp	foodon.jp										
1		plustodon.net										
1		7144.party										
1	でぃぐら丼。	mastodon.diglateam3.com										
1	nyadobe.online	netherdon.nyadobe.online		#dc632c					https://netherdon.nyadobe.online/@nyadobe/101068032885367348			
1		newjack.city										
1		mobile.st										
1		maho.app										
1		backyard.cloud										
1	Hearthtodon	hearthtodon.com						https://ja.mstdn.wiki/Hearthtodon				
1		hakorena.net										
1	toyoko.in	mstdn.toyoko.in										
1	square-rooty.org	mstdn.square-rooty.org										
1	ArtRiteLacy.jp	artritelacy.jp										
1	イカトドン	ika.queloud.net										
1	Eletusk (えれたすく)	eletusk.club										
1	マンホドン	manhole.club										
1	らびっとどん	mstdn.rabbitodon.work										
1	佐々木家	mstdn.sasachi.tokyo										
1	ropo.jp	mstdn.ropo.jp										
1		ykzts.technology		#ffb300								
1	三代目きりたん丼	kiritan.work		#a15a5a				https://ja.mstdn.wiki/Kiritan.work				
1		kemoshi.co		#942343				https://ja.mstdn.wiki/Kemoshi.co				
1	ふたば丼	ftb.masto.host	#fcbccc	#ff043c				https://ja.mstdn.wiki/%E3%81%B5%E3%81%9F%E3%81%B0%E4%B8%BC				
1	bitbank.cc	mastodon.bitbank.cc						https://ja.mstdn.wiki/Mastodon.bitbank.cc				
1	mstdn.Camera	mstdn.camera						https://ja.mstdn.wiki/Mstdn.Camera				
1		danshudon.jp						https://ja.mstdn.wiki/Danshudon.jp				
												
1		weep.me			weep_me.png		weep		https://weep.me/@weep/101030699173187260			
1		weep.m.to			weep_me.png		weep					
1		unnerv.jp		#ed1e24				https://ja.mstdn.wiki/Unnerv.jp				
1	ぬるかる	mstdn.nil.nu		#c27526				https://ja.mstdn.wiki/Mastodon.nil.nu				
												
1	misosi.ru	mstdn.misosi.ru										
1		norimi.ch										
1	8mitsu.net	don.8mitsu.net										
1	b-shock.org	mstdn.b-shock.org										
1	fono.jp	ma.fono.jp										
1	COMM.CX	comm.cx										
1		shimaidon.net										
1		terusid.com										
1		svrdn.drillion.net										
1		pekepeke.work		#f33								
1		pptdn.popnja.com		#b11,#b11,#b11					https://pptdn.popnja.com/@popn_ja/101170529451258116			
1		popon.pptdn.jp							https://popon.pptdn.jp/@popn_ja/101165403426828050			
1	edge4cube.work	social.edge4cube.work	#000	#0f0, #0f0, #0f0					https://social.edge4cube.work/@popn_ja/101170111975395733			
1		waraiotoko.net										
1	boxp.tk	mstdn.boxp.tk										
1		gamecluster.net										
1		mstdn.nieein56.xyz										
1		fumufu.xyz										
1		fetishdon.tk										
												
1		doll.social		#c47	mstdn_doll.png	30	いらすとや			https://www.irasutoya.com/2012/12/blog-post_653.html		
1		mastodoll.net		#c47	mstdn_doll.png	30	いらすとや			https://www.irasutoya.com/2012/12/blog-post_653.html		
1	:syscaller:	hack.syscaller.jp										
												
												
												
1	zhenya	zhenya.masto.host			masto_host2.png	26	masto.host ロゴから作成					
1	wndp	wndp.masto.host			masto_host2.png	26	masto.host ロゴから作成					
1	faithklock	faithklock.masto.host			masto_host2.png	26	masto.host ロゴから作成					
1	オカどん	okadon.masto.host			masto_host2.png	26	masto.host ロゴから作成					
1	新ゆうこやこん	yukoyajp.masto.host			yukoyajp2.png	37	masto.host ロゴ および 管理者本人からの提出。					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
2		mastodon.social						https://ja.mstdn.wiki/Mastodon.social				
2		mastodon.xyz						https://ja.mstdn.wiki/Mastodon.xyz				
2		mastodon.cloud						https://ja.mstdn.wiki/Mastodon.cloud				
2		mastodon.moe		#ff8eab				https://ja.mstdn.wiki/Mastodon.moe				
2		mastodon.host						https://ja.mstdn.wiki/Mastodon.host				
2	mastodon.ART	mastodon.art			mastodon_art.png	17	サイト favicon を基に作成	https://ja.mstdn.wiki/Mastodon.ART				
2		mastodon.club										
2		mastodon.at										
2		mastodon.technology										
2		quey.org										
2		masto.pt			masto_host2.png	26	masto.host ロゴから作成	https://ja.mstdn.wiki/Masto.pt				
2		bofa.lol										
2		niu.moe						https://ja.mstdn.wiki/Niu.moe				
2		mstdn.io						https://ja.mstdn.wiki/Mstdn.io				
2		ika.moe						https://ja.mstdn.wiki/Ika.moe				
2		octodon.social						https://ja.mstdn.wiki/Mastodon_Instances_(octodon.social)				
2		cybre.space										
2		mamot.fr						https://ja.mstdn.wiki/Mastory				
2		kirakiratter.com	#907767	#f9f3b7, #f9f3b7, #f9f3b7, #e1C152, #e0e9b5	kirakiratter_com2.png	32	kirakiratter.com の ロゴとウサギから作成	https://ja.mstdn.wiki/Kirakiratter.com				
2		switter.at		#0e6dbd	switter_at.png	30	サイト favicon を基に作成	https://ja.mstdn.wiki/Switter.at				
2	G L I T C H .social	glitch.social						https://ja.mstdn.wiki/Glitch.social				
2	ephemeral	ephemeral.glitch.social						https://ja.mstdn.wiki/Ephemeral.glitch.social				
2	トゥインヨ (트잉여)	twingyeo.kr						https://ja.mstdn.wiki/Twingyeo.kr				
2		occult.camp										
2		awooo.club										
2		shelter.moe										
2		framapiaf.org	#333	#e3d7ef, #e3d7ef				https://ja.mstdn.wiki/Framapiaf.org				
2		diaspodon.fr										
2		queer.town										
2	Witchcraft.Café	witchcraft.cafe										
2	Eldritch.Café	eldritch.cafe										
2	Radical.Town	radical.town		#499eac								
2		jorts.horse										
2	Sunbeam City 🌻	sunbeam.city										
2	Hostux.social	hostux.social										
2		chaos.social										
2	长毛象中文站 (cmx.im)	cmx.im						https://ja.mstdn.wiki/Cmx.im				
2	QOTO.org	qoto.org										
2	guillotines	guillotines.masto.host			masto_host2.png	26	masto.host ロゴから作成					
2		todon.nl										
2		toot.cat										
2		fosstodon.org										
2		wandering.shop										
2	Mastodon @ SDF	mastodon.sdf.org										
2	Icosahedron	icosahedron.website	#333	#a5d296, #a5d296								
2		soc.ialis.me										
2		cryptids.online										
2	嘟嘟噜 (wxw.moe)	wxw.moe						https://ja.mstdn.wiki/Wxw.moe				
2		toot.cafe										
2	tetaneutral.net	mastodon.tetaneutral.net										
2		social.taker.fr										
2		elekk.xyz										
2		yiff.life		#503255								
2		playvicious.social		#b13a3a, #9b3232								
2		twinja.club	#f0dd09	#000								
2		4eva.online										
2		shelter.moe		#ff8eab								
2		aus.social										
2	Social.coop	social.coop										
2		chitter.xyz	#f7e7f9	#b01ec8								
2	ketchupma.io	mastodon.ketchupma.io										
2	Gensokyo.social	gensokyo.social										
2		chat.cdstm.ch										
2		kosmos.social										
2		whomst.dog										
2	TooT.la	toot.la										
2		innerwebs.social										
2		pony.social										
2		snouts.online										
2		appdot.net										
2		mast.eu.org										
2	Queer.Party!	queer.party										
2	喵站 (mao)	mao.daizhige.org						https://ja.mstdn.wiki/Mao.daizhige.org				
2		843.pl										
2		the.goofs.space										
2		witches.live										
2	targaryen.house	social.targaryen.house										
2	homunyan.com	social.homunyan.com										
2		toot.chat										
2		uwu.social										
2		donphan.social										
2		mastd.racing										
2		die-partei.social										
2		quitter.im										
2	bitcast.info	social.bitcast.info										
2	En.OSM.Town	en.osm.town										
