id 	sns	sc	fav	lang	(c)2021 #InstanceTicker Released under the MIT license.	domain	sname	text	width	tcolor	bcolor	scolor	bicon	sicon	iicon	entry	exity	webp	avif
1217																			
1218																			
1219																			
1220																			
1221																			
1222																			
1223																			
1224																			
1225																			
1226																			
1227																			
1228																			
1229																			
1230																			
1231																			
1232																			
1233																			
1234																			
1235																			
1236																			
1237																			
1238																			
1239					※ここからPleroma予備 [k]														
1240	3				pleroma.soykaf.com	soykaf.com		..soykaf.com								20210209T150000Z			
1241	28	20700			spinster.xyz	spinster.xyz							transparent			20210209T150000Z			
1242	3				stereophonic.space	stereophonic.space										20210209T150000Z			
1243	3				cum.salon	cum.salon										20230215T000000Z			
1244	36				pl22.telteltel.com	telteltel.com										20220126T221500Z			
1245	3				fedi.tesaguri.club	tesaguri.club										20210209T150000Z			
1246	28				thefire.work	thefire.work										20210209T150000Z			
1247	3				vnil.de	vnil.de										20210618T000000Z			
1248	3				udongein.xyz	udongein.xyz										20210209T150000Z			
1249	3				fedi.underscore.world	underscore.world										20210209T150000Z			
1250	3				unkworks.net	unkworks.net										20210209T150000Z			
1251	3				plrm.komaniya.work	komaniya.work		..komaniya.work								20231015T000000Z			
1252																			
1253	3				amala.schwartzwelt.xyz	schwartzwelt.xyz										20220905T104158Z			
1254	3				pl.waku.dev	waku.dev										20230727T000000Z			
1255	36				otp.akkoma.dev	akkoma.dev										20230727T000000Z			
1256	3				fediverse.wesnoth.org	wesnoth.org										20210209T150000Z			
1257	3				pleroma.xn--t8jzbl7g.jp	xn--t8jzbl7g.jp	pleroma.おったぺ.jp	p..おったぺ.jp								20210209T150000Z			
1258	3				yggdrasil.social	yggdrasil.social										20210209T150000Z			
1259																			
1260	28	30500			poa.st	poa.st										20210509T150000Z			
1261																			
1262	3				social.shadowkat.net	shadowkat.net		..shadowkat.net								20210519T150000Z			
1263	36				neue.city	neue.city										20210206T000000Z			
1264	36	860		en	genserver.social	genserver.social										20221119T000000Z			
1265	3				idolheaven.org	idolheaven.org										20210531T150000Z			
1266	28				iddqd.social	iddqd.social										20210603T150000Z			
1267	3				pl.hyperboreal.zone	hyperboreal.zone										20230417T000000Z			
1268	36				bunbers.org	bunbers.org										20221108T000000Z			
1269	3				bidule.menf.in	menf.in										20210525T150000Z			
1270	36				bdx.town	bdx.town										20210704T000000Z			
1271	36				kongwoo.icu	kongwoo.icu										20210727T000000Z			
1272	36				ak.suzu-ya.info	suzu-ya.info										20230427T000000Z			
1273	3				haxe.social	haxe.social										20230728T000000Z			
1274	3				p.mr64.net	mr64.net										20200228T072204Z			
1275	3				posting.lolicon.rocks	lolicon.rocks										20210904T000000Z			
1276																			
1277	3				pleroma.skyshanty.xyz	skyshanty.xyz		..skyshanty.xyz								20210923T000000Z			
1278	36				pr.shc.kanagawa.jp	shc.kanagawa.jp										20210903T000000Z			
1279	3	3			fedi.splatoon3.ink	splatoon3.ink		..splatoon3.ink								20221212T000000Z			
1280	36	7			satania.social	satania.social										20220427T000000Z			
1281	36				fedi.neon.moe	neon.moe										20210206T000000Z			
1282	36				s.awoo.dev	awoo.dev										20230727T000000Z			
1283	3				clubcyberia.co	clubcyberia.co										20210904T000000Z			
1284	3				p.tkw.fm	tkw.fm										20210918T235811Z			
1285	36				fediverse.date	fediverse.date										20230416T000000Z			
1286	36				strelizia.net	strelizia.net										20211121T000000Z			
1287																			
1288																			
1289	3				bae.st	bae.st										20211201T000000Z			
1290	36				pleroma.chillout.chat	chillout.chat		..chillout.chat								20210704T131444Z			
1291	3				social.chatsubo.cafe	chatsubo.cafe		..chatsubo.cafe								20221112T155135Z			
1292	28				social.uden.ai	uden.ai		..uden.ai								20230723T000000Z			
1293	3				varishangout.net	varishangout.net										20220123T000000Z			
1294	28				bassam.social	bassam.social										20230723T000000Z			
1295	28				social.teci.world	teci.world		..teci.world								20220212T000000Z			
1296	3				xn--p1abe3d.xn--80asehdb	xn--p1abe3d.xn--80asehdb	срёт.онлайн	срёт.онлайн								20210507T000000Z			
1297	28				social.hendrixgames.com	hendrixgames.com		..hendrixgames.com					transparent			20210107T000000Z			
1298	36				a.jerl.zone	jerl.zone										20230727T000000Z			
1299	36				crimew.gay	crimew.gay										20220605T000000Z			
1300	36				social.jlinuxer.org	jlinuxer.org										20230804T000000Z			
1301					※ ここから plume [l]														
1302	14	19100			fediverse.blog	fediverse.blog										20210209T150000Z			
1303	14				plume.atsuchan.page	atsuchan.page										20211201T000000Z			
1304	14				amplifi.casa	amplifi.casa										20210209T150000Z			
1305	14				write.tchncs.de	tchncs.de										20210609T150000Z			
1306																			
1307																			
1308																			
1309																			
1310																			
1311																			
1312																			
1313																			
1314																			
1315					※ ここから lemmy [le]														
1316	21	18410			lemmy.ml	lemmy.ml										20211120T130000Z			
1317	21	1520			szmer.info	szmer.info										20211120T130000Z			
1318	21	100			stammtisch.hallertau.social	hallertau.social										20230219T000000Z			
1319	21	630			lemmy.eus	lemmy.eus										20211120T130000Z			
1320	21	7570			lemmygrad.ml	lemmygrad.ml										20211120T130000Z			
1321	21	75		ja	lemmy.juggler.jp	juggler.jp		l..juggler.jp								20211120T130000Z			
1322	21	30		ja	lm.korako.me	korako.me										20211120T130000Z			
1323	21	1		ja	lem.simple-gear.com	simple-gear.com		l..simple-gear.com								20230219T104151Z			
1324	21	230			midwest.social	midwest.social										20211120T130000Z			
1325	21	440			lemmy.ca	lemmy.ca										20211120T130000Z			
1326	21	520			baraza.africa	baraza.africa										20211120T130000Z			
1327	21	150			lemmy.pt	lemmy.pt										20211120T130000Z			
1328	21				lemmy.blahaj.zone	blahaj.zone		l..blahaj.zone								20230802T000000Z			
1329	21	5			ds9.lemmy.ml	lemmy.ml										20211120T130000Z			
1330	21	640			sopuli.xyz	sopuli.xyz										20211120T130000Z			
1331	21				alien.top	alien.top										20231001T000000Z			
1332	21	6400			programming.dev	programming.dev										20230607T000000Z			
1333	21	440			jlai.lu	jlai.lu										20230827T000000Z			
1334	21	25			r.nf	r.nf										20230831T000000Z			
1335	21	2680			startrek.website	startrek.website										20230612T000000Z			
1336	21	15			fedit.io	fedit.io										20230618T000000Z			
1337	21				lemmy.kde.social	kde.social		..kde.social								20230624T000000Z			
1338	21			ja	feddit.jp	feddit.jp										20230611T000000Z			
1339	21	1030		br	lemmy.eco.br	eco.br										20230621T000000Z			
1340	21	320		en	ani.social	ani.social										20231010T000000Z			
1341																			
1342																			
1343																			
1344																			
1345																			
1346																			
1347																			
1348																			
1349																			
1350																			
1351																			
1352																			
1353																			
1354																			
1355																			
1356																			
1357																			
1358																			
1359																			
1360																			
1361																			
1362																			
1363					※ ここから Misskey [m-o]														
1364																			
1365																			
1366																			
1367	40	1550		ja	misskey.m544.net	m544.net		めいすきー		#fbb	#700	#700				20180411T101142Z			
1368	4	2150		ja	misskey.ranranhome.info	ranranhome.info		m..ranranhome.info								20180419T160520Z			
1369	4	3		ja	mewl.me	mewl.me										20180808T181938Z			
1370	4	2		ja	misskey.nokotaro.com	nokotaro.com		..nokotaro.com								20180916T183739Z			
1371																			
1372	41			ja	firefish.ranranhome.info	ranranhome.info		f..ranranhome.info								20231114T155122Z			
1373																			
1374																			
1375	37				micro.blog	micro.blog										20210206T000000Z			
1376	4			en	nya.social	nya.social										20190127T093758Z			
1377	4			en	misskey.anjara.eu	anjara.eu		..anjara.eu	20							20190131T164303Z			
1378	41			de	rogue-net.work	rogue-net.work										20230816T141842Z			
1379	4			ja	gyutte.site	gyutte.site										20190223T164507Z			
1380																			
1381	40			ja	misskey.dev	misskey.dev				#0d5	#333	#333				20190301T170518Z			
1382																			
1383																			
1384	4			ja	misskey.io	misskey.io										20190414T171727Z			
1385	4			ja	misskey.nokotaro.work	nokotaro.work		..nokotaro.work								20190423T163211Z			
1386	4			cn	misskey.gothloli.club	gothloli.club		..gothloli.club								20190501T043449Z			
1387	4			ja	misskey.noellabo.jp	noellabo.jp		のえすきー								20190504T133853Z			
1388	23			en	mostr.pub	mostr.pub										20230302T000000Z			
1389																			
1390																			
1391	4			en	catgirl.life	catgirl.life										20190602T150545Z			
1392	4			en	mi.underscore.world	underscore.world		..underscore.world								20190624T175406Z			
1393																			
1394	4			de	misskey.bocc.de	bocc.de		..bocc.de								20190808T185607Z			
1395																			
1396																			
1397																			
1398																			
1399	4			ja	m.kirishima.cloud	kirishima.cloud										20190919T121836Z			
1400	4	30		ko	madost.one	madost.one										20191008T120149Z			
1401																			
1402	4			en	the9thcircle.club	the9thcircle.club										20191112T002117Z			
1403	4			en	gensoukyou.jp.net	gensoukyou.jp.net										20191116T225919Z			
1404																			
1405	4			en	misskey.kusoneko.moe	kusoneko.moe		..kusoneko.moe								20191001T205748Z			
1406																			
1407																			
1408																			
1409	4			ja	erica.hiyuki2578.net	hiyuki2578.net										20191224T124731Z			
1410																			
1411	4			en	slippy.xyz	slippy.xyz										20200105T065324Z			
1412	4	25000		ja	nijimiss.moe	nijimiss.moe										20200106T180902Z			
1413	4			it	cliq.social	cliq.social										20200113T092330Z			
1414	4			ja	misskey.cloud	misskey.cloud										20220602T174526Z			
1415																			
1416	40			ja	meisskey.one	meisskey.one										20200216T102719Z			
1417	40			ja	ridixy.com	ridixy.com										20200216T221133Z			
1418	4			ja	misskey.xianon.net	xianon.net		..xianon.net								20200222T132222Z			
1419	4			cn	m.dogcraft.cn	dogcraft.cn										20200821T023541Z			
1420																			
1421																			
1422	4			ja	misskey.void.gift	void.gift		..void.gift								20200324T094446Z			
1423																			
1424	4			ja	miwkey.miwpayou0808.info	miwpayou0808.info		miwkey								20200403T111621Z			
1425																			
1426	4	2		ja	z.kvche.ch	kvche.ch										20220105T192534Z			
1427																			
1428	4			ja	misskey.tech	misskey.tech										20200418T114255Z			
1429																			
1430	4			ja	misskey.omhnc.net	omhnc.net		..omhnc.net								20200501T035933Z			
1431																			
1432																			
1433	4			ja	newskey.cc	newskey.cc		𝙉𝙚𝙬𝙨𝙠𝙚𝙮.𝙘𝙘								20200510T192503Z			
1434																			
1435																			
1436	4	4		ja	misskey.magokorobin.com	magokorobin.com		..magokorobin.com								20200527T055057Z			
1437	4			ja	misskey.osyakasyama.me	osyakasyama.me		..osyakasyama.me								20200610T085126Z			
1438	40			ja	nyon.marimo-net.com	marimo-net.com										20200714T091608Z			
1439																			
1440																			
1441	4			ja	gp.tsukimi.club	tsukimi.club										20200906T065227Z			
1442	40			ja	m11.t8n.dev	t8n.dev										20200705T065515Z			
1443	4	120		en	erisly.social	erisly.social										20220426T060136Z			
1444																			
1445																			
1446	40			ja	mk.lei202.com	lei202.com		..lei202.com								20201010T025522Z			
1447	4			en	quietplace.xyz	quietplace.xyz										20201016T175721Z			
1448	4			en	misskey.de	misskey.de										20201025T003655Z			
1449	4	50		ja	misskey.day	misskey.day										20230801T184854Z			
1450	4			ja	mi.maikaze.moe	maikaze.moe		..maikaze.moe								20201101T112601Z			
1451	4			ja	drdr.club	drdr.club										20201103T104810Z			
1452	40			ja	friendsyu.me	friendsyu.me										20201107T051550Z			
1453	4			ja	ward2.bouvardia.icu	bouvardia.icu										20220528T235241Z			
1454																			
1455	4			ja	cocoronavi.com	cocoronavi.com										20201201T124146Z			
1456																			
1457	4			ja	mk.aqr.af	aqr.af										20201212T134504Z			
1458	4			ja	mi.les-requin.net	les-requin.net		..les-requin.net								20201227T134828Z			
1459	4			en	social.coolmathgames.tech	coolmathgames.tech		..coolmathgames.tech								20201206T160208Z			
1460																			
1461	4			ja	misskey.rup.one	rup.one													
1462	4			ja	maniakey.homes	maniakey.homes										20231031T000000Z			
1463	4			ja 	misskey.04.si	04.si		..04.si								20220412T094643Z			
1464	26				mk.toast.cafe	toast.cafe										20210731T231030Z			
1465	4	15			ntt.ee	ntt.ee										20230703T000000Z			
1466	4				misskey.goochiegoo.net	goochiegoo.net		..goochiegoo.net								20210114T121420Z			
1467	4				misky.rikunagiweb.jp	rikunagiweb.jp		..rikunagiweb.jp								20210118T154502Z			
1468	4				sushi.ski	sushi.ski										20210130T103633Z			
1469	4				neko.ci	neko.ci										20210213T073514Z			
1470	4				fet.bar	fet.bar										20210202T223709Z			
1471	4			ja	twely.etn.icu	etn.icu										20230821T162115Z			
1472	4				mi.siotter.xyz	siotter.xyz		..siotter.xyz								20210209T150000Z			
1473	4				egirls.gay	egirls.gay										20210719T012206Z			
1474	4				misskey.traction.jp	traction.jp		..traction.jp								20210204T125806Z			
1475	4				sunisky.club	sunisky.club										20210304T030240Z			
1476	4				mk2.toyoko.in	toyoko.in										20210304T145637Z			
1477	4				msk.seppuku.club	seppuku.club		..seppuku.club								20210306T085944Z			
1478	4	20		ja	msky.summersweet.jp	summersweet.jp		..summersweet.jp								20231023T000000Z 			
1479	4				mi.potofu.moe	potofu.moe		..potofu.moe								20210323T172145Z			
1480	4				milkey.homes	milkey.homes										20210731T175230Z			
1481	4				bungle.online	bungle.online										20210318T005438Z			
1482	4	70		ja 	mof.kemomi.me	kemomi.me										20231020T000000Z			
1483	4				lesbian.energy	lesbian.energy										20210505T195728Z			
1484	41				ocooo.ooo	ocooo.ooo										20231014T035129Z			
1485	4				mk.skima.jp	skima.jp										20230711T000000Z			
1486	4	5		ja	msk.takasitaku.com	takasitaku.com										20230716T000725Z			
1487	4			ja	misk.pmhonpo.net	pmhonpo.net										20230913T113716Z			
1488	4			ja	onsen-musume.fun	onsen-musume.fun										20210429T145543Z			
1489	4			ja	umaskey.net	umaskey.net										20210516T115613Z			
1490	4			ja	misskey.ruste.red	ruste.red		..ruste.red								20210522T154826Z			
1491	4			ja	misskey.anizumin.com	anizumin.com		..anizumin.com								20230920T141232Z			
1492	38			ko	i.rainy.kr	rainy.kr										20230827T230750Z			
1493	4			en	birb.space	birb.space										20210503T052718Z			
1494	38			ko	kokonect.link	kokonect.link										20210408T085349Z			
1495	38			ko	universe.noridev.moe	noridev.moe		..noridev.moe								20230530T102419Z			
1496	4			ja	misskey-blackbote.net	misskey-blackbote.net										20230706T121033Z			
1497	4	430		ja	p1.a9z.dev	a9z.dev										20210604T051058Z			
1498	4			ja	the-box.work	the-box.work										20210622T032619Z			
1499	4	10			poster.place	poster.place										20230925T033354Z			
1500	4			ja	mi.pal-mate.jp	pal-mate.jp										20230713T073545Z			
1501	4			ja	honi.club	honi.club										20210714T181039Z			
1502	4			ja	msk.minetaro12.com	minetaro12.com		..minetaro12.com								20210727T112247Z			
1503	4			ja	uma.milkey.homes	milkey.homes										20210731T175230Z			
1504	4			ja	mi.kitsunebi-ya.com	kitsunebi-ya.com										20230923T193753Z			
1505	40			ja	mk.shc.kanagawa.jp	shc.kanagawa.jp		MK湘南ひらつか								20210731T173459Z			
1506	41				mk.absturztau.be	absturztau.be										20210802T091648Z			
1507	41				wakuwaku.gg	wakuwaku.gg										20231006T043940Z			
1508	4			ja	misskey.t1nyb0x.cloud	t1nyb0x.cloud		..t1nyb0x.cloud								20230614T000000Z			
1509	44			en	estrogen.network	estrogen.network										20210804T204427Z			
1510	4			ja	nyan.sda1.net	sda1.net										20230926T225451Z			
1511	41			ja	kameuo.turtton.net	turtton.net										20230818T074215Z			
1512	4			ja	misskey.assaultli.ly	assaultli.ly		..assaultli.ly								20210808T165719Z			
1513	4			ja	misskey.dobu.page	dobu.page		..dobu.page								20230716T221020Z			
1514	41			ja	firefish.jp	firefish.jp										20230816Т111337Z			
1515	4			ja	oran.ski	oran.ski										20210809T071428Z			
1516	4			ja	misskey.7ka.org	7ka.org		..7ka.org								20220603T142213Z			
1517	4	6		ja	kuroyuki-server.misskey.one	misskey.one		kuroyuki-..misskey.one								20230805T034245Z			
1518	4			ja	m.huling.org	huling.org										20230702T000000Z			
1519	4			ja	mi.tebukuro.xyz	tebukuro.xyz		..tebukuro.xyz								20230125T022138Z			
1520	4			ja	misskey.design	misskey.design										20230304T132943Z			
1521	4				nyaaa.net	nyaaa.net										20230702T151523Z			
1522	4				baldr-geek.net	baldr-geek.net										20230713T090450Z			
1523	4				simkey.net	simkey.net										20211004T122133Z			
1524	4	100		ja	misskey.resonite.love	resonite.love										20230922T022425Z			
1525	26				movsw.0x0.st	0x0.st										20210804T063700Z			
1526	4				misskey.yude.jp	yude.jp		..yude.jp								20210814T041911Z			
1527	4	3			epic.meme.moe	meme.moe										20220118T221836Z			
1528	4			ja	side.misskey.productions	misskey.productions		..misskey.productions								20230519T151712Z			
1529	38				nyaa.paring.moe	paring.moe										20230728T160741Z			
1530	4				mi.mer.moe	mer.moe										20230827T203411Z			
1531	4				misskey.bubbletea.dev	bubbletea.dev		..bubbletea.dev								20210717T031014Z			
1532	4			ko	masost.one	masost.one										20230530T154258Z			
1533	4				mk.catgirlsfor.science	catgirlsfor.science		..catgirlsfor.science								20210802T214832Z			
1534	4			ko	misskey.kr	misskey.kr										20230530T122002Z			
1535	38				beta.kokonect.link	kokonect.link										20210913T040614Z			
1536	4				shitpost.poridge.club	poridge.club										20210913T212347Z			
1537	26				not.acu.lt	not.acu.lt										20210803T000000Z			
1538	4				m.komefura.com	komefura.com										20230804T123733Z			
1539	4				f.jymuoyu.com	jymuoyu.com										20210109T074428Z			
1540	4			en	tears.intherain.club	intherain.club		..intherain.club								20210206T000000Z			
1541	4				buicha.social	buicha.social										20221228T165528Z			
1542	4				mi.tkw.fm	tkw.fm		..tkw.fm								20210916T123756Z			
1543	4				mi.kabo.cab	kabo.cab										20230504T204042Z			
1544	4				misskey.id	misskey.id										20210920T081727Z			
1545	4				kagamisskey.com	kagamisskey.com										20211007T112312Z			
1546	4				niscii.xyz	niscii.xyz										20211101T105617Z			
1547	4			en	mk.udongein.reisen	udongein.reisen										20211017T134818Z			
1548	4			ja	oshiro.hirunohi.com	hirunohi.com										20230607T121239Z			
1549					※ ここから pixelfed [p]														
1550	8	98520			pixelfed.social	pixelfed.social										20210209T150000Z			
1551	8	6			playset.social	playset.social										20230216T000000Z			
1552	8	720			anar.chi.st	chi.st										20210209T150000Z			
1553	8	50			pixelfed.debian.social	debian.social		..debian.social								20210209T150000Z			
1554	8				pix.diaspodon.fr	diaspodon.fr										20210209T150000Z			
1555	8				federated.photos	federated.photos										20210209T150000Z			
1556	8				darnell.app	darnell.app										20230108T000000Z			
1557	8				art.librepunk.club	librepunk.club										20210209T150000Z			
1558	8				metapixl.com	metapixl.com										20210209T150000Z			
1559	8	340			pixelfed.noellabo.jp	noellabo.jp		..noellabo.jp								20210209T150000Z			
1560	8				piconic.co	piconic.co										20210209T150000Z			
1561	8	27000			pixelfed.de	pixelfed.de										20210209T150000Z			
1562	8	440			pixelfed.eus	pixelfed.eus										20210209T150000Z			
1563	8	1200			pixelfed.fi	pixelfed.fi										20210209T150000Z			
1564	8	190			staging.pixelfed.net	pixelfed.net		..pixelfed.net								20210209T150000Z			
1565	8				pixelfed.nz	pixelfed.nz										20210209T150000Z			
1566	8				pixelfed.se	pixelfed.se										20210209T150000Z			
1567	8	3400		ja	pixelfed.tokyo	pixelfed.tokyo										20210209T150000Z			
1568	8	6100			pixelfed.uno	pixelfed.uno										20210209T150000Z			
1569	8				pxlmo.com	pxlmo.com										20210209T150000Z			
1570	8	1850			shared.graphics	shared.graphics										20210209T150000Z			
1571	8				pix.tedomum.net	tedomum.net										20210209T150000Z			
1572	8				pix.toot.wales	toot.wales										20210209T150000Z			
1573	8	2900			pixel.tchncs.de	tchncs.de										20220105T000000Z			
1574	8	40			pixelfed.gdgd.jp.net	gdgd.jp.net		..gdgd.jp.net								20220211T130000Z			
1575	8	950			pixelfed.au	pixelfed.au										20221031T000000Z			
1576	8	80			pic.snug.moe	snug.moe										20230801T000000Z			
1577	8	3800			pixey.org	pixey.org										20210618T035847Z			
1578	8	650		ja	fedisnap.com	fedisnap.com										20220430T155942Z			
1579	8	230			polaroid.absturztau.be	absturztau.be		p..absturztau.be								20221122T000000Z			
1580	8	1700		fr	pixelfed.fr	pixelfed.fr										20210206T000000Z			
1581	8	850			pixel.sendero.social	sendero.social		..sendero.social								20210206T000000Z			
1582	8	640			pixelfed.sdf.org	sdf.org		p..sdf.org								20210206T000000Z			
1583	8	820			gram.social	gram.social										20220509T000000Z			
1584	8	185			pixelfed.art	pixelfed.art										20230408T000000Z			
1585	8	300			pony.gallery	pony.gallery										20210206T000000Z			
1586	8	1000			pxl.roflcopter.fr	roflcopter.fr										20210206T000000Z			
1587	8	500			pixtagram.social	pixtagram.social										20230331T160208Z			
1588	8	310			luzeed.org	luzeed.org										20230402T000000Z			
1589																			
1590																			
1591																			
1592																			
1593																			
1594																			
1595																			
1596																			
1597																			
1598																			
1599																			
1600																			
1601																			
1602																			
1603																			
1604																			
1605																			
1606																			
1607																			
1608																			
1609																			
1610																			
1611																			
1612					※ ここから Misskey 2021-2022 [q]														
1613	41			ja	tsumikey.party	tsumikey.party										20230531T144758Z			
1614	4			en	plasmatrap.com	plasmatrap.com										20220429T094946Z			
1615	4			ja	mk.f72u.net	f72u.net		..f72u.net								20211207T205928Z			
1616	26				genau.qwertqwefsday.eu	qwertqwefsday.eu		Genau-Land								20210801T221300Z			
1617	4			ja	misskey.shinaaamo.com	shinaaamo.com		..shinaaamo.com								20211211T173331Z			
1618	4	40		ja	photo.misskey.city	misskey.city										20230610T004019Z			
1619	4				mk.outv.im	outv.im		..outv.im								20211204T111537Z			
1620	4	5500		ja	nekomiya.net	nekomiya.net										20230118T152756Z			
1621	41			ja	himagine.club	himagine.club										20230506T184433Z			
1622	4			ja	misskey.backspace.fm	backspace.fm		..backspace.fm								20230626T043920Z			
1623	26			ja	miruku.cafe	miruku.cafe										20211218T231846Z			
1624	4	10		ja	mi.irunu.co	irunu.co										20230702T112617Z			
1625	41				parcel.birdnest.day	birdnest.day										20231021T000000Z			
1626	4				social.pseudo-whiskey.bar	pseudo-whiskey.bar		..pseudo-whiskey.bar								20211230T020900Z			
1627	26			en	cybre.club	cybre.club										20220122T174502Z			
1628	4				myamisskey.ddo.jp	ddo.jp										20230701T000000Z			
1629	40			ja	ip.omorashi.cc	omorashi.cc										20211230T173306Z			
1630	4	2		ja	misskey.betopia.net	betopia.net		..betopia.net								20230707T174553Z			
1631	4	2610		ja	misskey.gg	misskey.gg										20230702T190437Z			
1632	26			ja	z0ne.social	z0ne.social										20210816T142440Z			
1633	4			ja	nr.akarinext.org	akarinext.org										20220416T011939Z			
1634	4	4		en	mk.woem.space	woem.space										20230709T123243Z			
1635	4	10		ja	misskey.umicat.de	umicat.de		..umicat.de								20230704T153949Z			
1636	4			ja	mk.xiupos.net	xiupos.net		..xiupos.net								20220106T133559Z			
1637	4	40		ja	mi.204.jp	204.jp										20230101T074557Z			
1638	4			ja	m.zuiho.moe	zuiho.moe										20220119T113956Z			
1639	4			ja	misskey.na2na.dev	na2na.dev		..na2na.dev								20220112T160707Z			
1640	4	10		cn	b.koa.im	b.koa.im		..koa.im								20220430T133730Z			
1641	4			en	stop.voring.me	voring.me										20220120T223256Z			
1642	4			ja	mi.8mitsu.net	8mitsu.net		..8mitsu.net								20220121T150353Z			
1643	41			en	snug.moe	snug.moe										20211124T110315Z			
1644	4			ja	soshar.dess.ga	dess.ga										20230106T000241Z			
1645	4			ja	beta.noyaskey.net	noyaskey.net		..noyaskey.net								20230901T214458Z			
1646	4			ja	omata.club	omata.club										20230709T170613Z			
1647	4			ja	metaskey.net	metaskey.net										20220128T131308Z			
1648	4			cn	m.isle.moe	isle.moe										20220125T094023Z			
1649	4	15		ja	tanoshii.site	tanoshii.site										20220823T150647Z			
1650	4			en	succubi.services	succubi.services										20220203T100316Z			
1651	4			en	port.mk	port.mk										20220203T100316Z			
1652	4			en	mk.igwigg.space	igwigg.space		..igwigg.space								20220327T112405Z			
1653	4	20		ja	mof.rorea.moe	rorea.moe										20230123T225656Z			
1654	4	20		ja	misskey.niri.la	niri.la		..niri.la								20221202T060638Z			
1655	4			ru	nobl.ink	nobl.ink										20220215T154859Z			
1656	4	8		ko	byeolvit.space	byeolvit.space										20230710T052343Z			
1657	4			ja	mk.u0conveni.club	u0conveni.club		..u0conveni.club								20220411T005451Z			
1658	4				mskontor.nannika.work	nannika.work										20231014T063400Z			
1659	4	15		en	sns.tsubasaori.be	tsubasaori.be										20220426T100242Z			
1660	4			en	evil.social	evil.social										20211117T030719Z			
1661	4	25		ja	suyasuya.love	suyasuya.love										20230705T170347Z			
1662	4			ja	tyazzkey.work	tyazzkey.work										20220417T094030Z			
1663	41			ja	favcalc.com	favcalc.com										20230327T000000Z			
1664	4	5500		ja	misskey.yukineko.me	yukineko.me		..yukineko.me								20210211T021353Z			
1665	4			ja	mk.yopo.work	yopo.work		..yopo.work								20220506T102734Z			
1666	4	170		it	misskey.social	misskey.social										20220505T175546Z			
1667	4			ja	misskey.zerozaski.tech	zerozaski.tech		..zerozaski.tech								20220509T035951Z			
1668	4			en	very.tastytea.de	tastytea.de										20220514T135419Z			
1669	4	35		en	miki.live4you.one	live4you.one										20220701T014822Z			
1670	4			cn	bilibili.org	bilibili.org										20220430T102616Z			
1671	4	10		ja	misskey.kindworld.one	kindworld.one		..kindworld.one								20220701T014822Z			
1672	4			cn	nya.one	nya.one										20200603T175916Z			
1673	4			cn	hi.hashi.icu	hashi.icu										20231011T006319Z			
1674	18			ja	prismo.fedibird.com	fedibird.com										20210209T150000Z			
1675					※ここ [r1] misskey [r2 -]														
1676	41	80		ja	annex.coffee-break.cc	coffee-break.cc										20230720T100443Z			
1677	4	20		ja	go.coffee-break.cc	coffee-break.cc										20230909T011038Z			
1678	4			ja	garuru.f5.si	f5.si										20231021T101714Z			
1679	4			en	froggie.town	froggie.town										20230724T192939Z			
1680	4			ja	nurash.kemomi.me	kemomi.me										20230130T000000Z			
1681	4			ja	cocoa.kemomi.me	kemomi.me										20231021T210416Z			
1682	4				sdbx.reins-no-misskey.com	reins-no-misskey.com		れりすきーv1								20230331T000000T			
1683	4				misskey.amfedisr.net	amfedisr.net		..amfedisr.net								20231013T000000Z			
1684	4				mk.eliko.ga	eliko.ga		..eliko.ga								20211230T001729Z			
1685	4	2150		ja	submarin.online	submarin.online										20220523T175257Z			
1686	4	3		ja	s.ktsn.dev	ktsn.dev										20230307T040828Z			
1687	4				seediqbale.xyz	seediqbale.xyz										20220317T085802Z			
1688	41				microblog.social	microblog.social										20220420T071216Z			
1689	4			ja	obak-key.com	obak-key.com										20230421T000000Z			
1690	4	8			social.kyaru.xyz	kyaru.xyz		..kyaru.xyz								20220429T080149Z			
1691	4	5		ja	misskey.soda-net.com	soda-net.com		..soda-net.com								20221110T101639Z			
1692	4	70		ja	social.camph.net	camph.net		..camph.net								20230403T123757Z			
1693	41	200		ja	calckey.7ka.org	7ka.org										20230516T171305Z			
1694	41	5			is-a.wyvern.rip	wyvern.rip		..wyvern.rip								20230117T000000Z			
1695	4			ja	mitsukey.cf	mitsukey.cf										20220621T044100Z			
1696	4			ja	msk.ilnk.info	ilnk.info										20220530T150149Z			
1697	4			ja	labo.wovs.tk	wovs.tk										20220615T071755Z			
1698	26			ja	wake.0am.jp	0am.jp										20230501T115014Z			
1699	41				hyk.piyoskey.com	piyoskey.com										20230915T083844Z			
1700	4			ja	kinoko.pw	kinoko.pw										20230714T000000Z			
1701	4			ko	k.yumeka.xyz	yumeka.xyz										20221105T101153Z			
1702	40				misskey.mina.to	mina.to		..mina.to								20230707T220014Z			
1703	4			in	social.arunmozhi.in	arunmozhi.in		..arunmozhi.in								20221112T050252Z			
1704	41				social.sda1.net	sda1.net		..sda1.net								20230724T002717Z			
1705	4				mi.cbrx.io	cbrx.io		..cbrx.io								20220711T115812Z			
1706	41	3		ja	privatter.info	privatter.info										20230402T165016Z			
1707	4				pisskey.io	pisskey.io										20221008T161523Z			
1708	4				replicants.cafe	replicants.cafe										20230417T000000Z			
1709	41				cats.city	cats.city										20230411T074611Z			
